date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-01-02,2025-01-03,25.5000,hold,0,1.00,0,100000.00,100000.00,55489,25.5000
2025-01-03,2025-01-06,24.4100,hold,0,1.00,0,100000.00,100000.00,50070,24.4100
2025-01-06,2025-01-07,24.4100,hold,0,1.00,0,100000.00,100000.00,42227,24.4100
2025-01-07,2025-01-08,24.9200,hold,0,1.00,0,100000.00,100000.00,47320,24.9200
2025-01-08,2025-01-09,24.8000,hold,0,1.00,0,100000.00,100000.00,53968,24.8000
2025-01-09,2025-01-10,24.8400,hold,0,1.00,0,100000.00,100000.00,53097,24.8400
2025-01-10,2025-01-13,24.6200,hold,0,1.00,0,100000.00,100000.00,44683,24.6200
2025-01-13,2025-01-14,25.2100,hold,0,1.00,0,100000.00,100000.00,46515,25.2100
2025-01-14,2025-01-15,25.9900,hold,0,1.00,0,100000.00,100000.00,48361,25.9900
2025-01-15,2025-01-16,25.5000,hold,0,1.00,0,100000.00,100000.00,62258,25.5000
2025-01-16,2025-01-17,25.4100,hold,0,1.00,0,100000.00,100000.00,48809,25.4100
2025-01-17,2025-01-20,25.4600,hold,0,1.00,0,100000.00,100000.00,50266,25.4600
2025-01-20,2025-01-21,25.3400,hold,0,1.00,0,100000.00,100000.00,52313,25.3400
2025-01-21,2025-01-22,25.3200,hold,0,1.00,0,100000.00,100000.00,62144,25.3200
2025-01-22,2025-01-23,24.8800,hold,0,1.00,0,100000.00,100000.00,47390,24.8800
2025-01-23,2025-01-24,24.7100,hold,0,1.00,0,100000.00,100000.00,85186,24.7100
2025-01-24,2025-01-27,24.9500,hold,0,1.00,0,100000.00,100000.00,60595,24.9500
2025-01-27,2025-02-05,24.1000,hold,0,1.00,0,100000.00,100000.00,47451,24.1000
2025-02-05,2025-02-06,24.6700,hold,0,1.00,0,100000.00,100000.00,41833,24.6700
2025-02-06,2025-02-07,25.6600,hold,0,1.00,0,100000.00,100000.00,71073,25.6600
2025-02-07,2025-02-10,26.1400,buy,900,1.00,1,76122.26,99992.60,66902,26.5226
2025-02-10,2025-02-11,26.7000,sell,300,1.00,1,84048.70,99914.44,81271,26.4429
2025-02-11,2025-02-12,26.2900,hold,0,1.00,0,84048.70,99822.70,105246,26.2900
2025-02-12,2025-02-13,26.9900,sell,200,1.00,1,89388.40,100076.44,75137,26.7201
2025-02-13,2025-02-14,26.6000,hold,0,1.00,0,89388.40,100028.40,92551,26.6000
2025-02-14,2025-02-17,26.4000,hold,0,1.00,0,89388.40,99948.40,68812,26.4000
2025-02-17,2025-02-18,26.2500,hold,0,1.00,0,89388.40,99888.40,73279,26.2500
2025-02-18,2025-02-19,25.5800,sell,100,1.00,1,91938.33,99594.33,97942,25.5200
2025-02-19,2025-02-20,26.2300,hold,0,1.00,0,91938.33,99807.33,70537,26.2300
