date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-08-01,2025-08-04,75.3000,hold,0,1.00,0,100000.00,100000.00,48959,75.3000
2025-08-04,2025-08-05,73.7800,hold,0,1.00,0,100000.00,100000.00,56936,73.7800
2025-08-05,2025-08-06,75.4100,hold,0,1.00,0,100000.00,100000.00,48970,75.4100
2025-08-06,2025-08-07,76.9000,hold,0,1.00,0,100000.00,100000.00,50811,76.9000
2025-08-07,2025-08-08,74.8100,hold,0,1.00,0,100000.00,100000.00,45049,74.8100
2025-08-08,2025-08-11,81.6000,buy,600,1.00,1,50499.19,99985.15,55162,82.4766
2025-08-11,2025-08-12,84.5200,hold,0,1.00,0,50499.19,101211.19,61616,84.5200
2025-08-12,2025-08-13,88.1000,hold,0,1.00,0,50499.19,103359.19,64894,88.1000
2025-08-13,2025-08-14,89.0300,hold,0,1.00,0,50499.19,103917.19,71438,89.0300
2025-08-14,2025-08-15,87.9500,hold,0,1.00,0,50499.19,103269.19,83614,87.9500
2025-08-15,2025-08-18,94.2800,hold,0,1.00,0,50499.19,107067.19,70116,94.2800
2025-08-18,2025-08-19,95.3800,hold,0,1.00,0,50499.19,107727.19,57622,95.3800
2025-08-19,2025-08-20,96.4700,hold,0,1.00,0,50499.19,108381.19,39282,96.4700
2025-08-20,2025-08-21,95.2800,hold,0,1.00,0,50499.19,107667.19,45354,95.2800
2025-08-21,2025-08-22,92.4900,hold,0,1.00,0,50499.19,105993.19,55756,92.4900
2025-08-22,2025-08-25,97.8600,hold,0,1.00,0,50499.19,109215.19,84160,97.8600
2025-08-25,2025-08-26,102.6000,hold,0,1.00,0,50499.19,112059.19,59650,102.6000
2025-08-26,2025-08-27,97.0100,hold,0,1.00,0,50499.19,108705.19,49455,97.0100
2025-08-27,2025-08-28,95.1100,hold,0,1.00,0,50499.19,107565.19,53926,95.1100
2025-08-28,2025-08-29,99.5600,hold,0,1.00,0,50499.19,110235.19,41031,99.5600
2025-08-29,2025-09-01,99.8700,hold,0,1.00,0,50499.19,110421.19,60892,99.8700
2025-09-01,2025-09-02,99.2000,hold,0,1.00,0,50499.19,110019.19,41485,99.2000
2025-09-02,2025-09-03,99.6500,sell,300,1.00,1,80834.52,111194.13,58635,101.1987
2025-09-03,2025-09-04,114.9000,hold,0,1.00,0,80834.52,115304.52,47006,114.9000
2025-09-04,2025-09-05,116.0000,hold,0,1.00,0,80834.52,115634.52,92212,116.0000
2025-09-05,2025-09-08,135.3400,sell,100,1.00,1,94819.31,122811.29,89393,139.9599
2025-09-08,2025-09-09,136.9800,sell,100,1.00,1,108015.52,121222.30,54714,132.0678
