date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-01-02,2025-01-03,9.9400,hold,0,1.00,0,100000.00,100000.00,51779,9.9400
2025-01-03,2025-01-06,9.4100,hold,0,1.00,0,100000.00,100000.00,61029,9.4100
2025-01-06,2025-01-07,9.4300,hold,0,1.00,0,100000.00,100000.00,45261,9.4300
2025-01-07,2025-01-08,9.6000,hold,0,1.00,0,100000.00,100000.00,39931,9.6000
2025-01-08,2025-01-09,9.5500,hold,0,1.00,0,100000.00,100000.00,49266,9.5500
2025-01-09,2025-01-10,9.9400,buy,100,1.00,1,99007.70,99999.69,83986,9.9199
2025-01-10,2025-01-13,9.6700,buy,1400,1.00,1,85690.27,99954.52,81693,9.5095
2025-01-13,2025-01-14,9.5900,hold,0,1.00,0,85690.27,100075.27,73398,9.5900
2025-01-14,2025-01-15,10.2700,hold,0,1.00,0,85690.27,101095.27,73106,10.2700
2025-01-15,2025-01-16,10.2200,hold,0,1.00,0,85690.27,101020.27,66456,10.2200
2025-01-16,2025-01-17,10.1900,hold,0,1.00,0,85690.27,100975.27,82171,10.1900
2025-01-17,2025-01-20,10.1500,buy,2100,1.00,1,64452.48,100848.84,108837,10.1101
2025-01-20,2025-01-21,10.0100,close,3600,1.00,1,100459.03,100459.03,72351,10.0999
2025-01-21,2025-01-22,10.0900,buy,2400,1.00,1,76307.43,100451.55,82742,10.0601
2025-01-22,2025-01-23,9.9900,sell,2400,1.00,1,100263.81,100263.81,44819,10.0899
2025-01-23,2025-01-24,9.9000,hold,0,1.00,0,100263.81,100263.81,90804,9.9000
2025-01-24,2025-01-27,10.3400,hold,0,1.00,0,100263.81,100263.81,42634,10.3400
2025-01-27,2025-02-05,11.1000,hold,0,1.00,0,100263.81,100263.81,50279,11.1000
2025-02-05,2025-02-06,12.2100,hold,0,1.00,0,100263.81,100263.81,65521,12.2100
2025-02-06,2025-02-07,13.1800,hold,0,1.00,0,100263.81,100263.81,56612,13.1800
2025-02-07,2025-02-10,13.2000,hold,0,1.00,0,100263.81,100263.81,63767,13.2000
2025-02-10,2025-02-11,14.0500,hold,0,1.00,0,100263.81,100263.81,62354,14.0500
2025-02-11,2025-02-12,13.1400,hold,0,1.00,0,100263.81,100263.81,41032,13.1400
2025-02-12,2025-02-13,13.1900,hold,0,1.00,0,100263.81,100263.81,42515,13.1900
2025-02-13,2025-02-14,12.7600,hold,0,1.00,0,100263.81,100263.81,70515,12.7600
2025-02-14,2025-02-17,12.9400,hold,0,1.00,0,100263.81,100263.81,53484,12.9400
2025-02-17,2025-02-18,12.5000,hold,0,1.00,0,100263.81,100263.81,56548,12.5000
2025-02-18,2025-02-19,11.7400,hold,0,1.00,0,100263.81,100263.81,62825,11.7400
2025-02-19,2025-02-20,12.0000,buy,2000,1.00,1,76256.37,100256.37,60072,12.0000
2025-02-20,2025-02-21,11.9000,hold,0,1.00,0,76256.37,100056.37,132837,11.9000
2025-02-21,2025-02-24,12.2600,hold,0,1.00,0,76256.37,100776.37,63514,12.2600
2025-02-24,2025-02-25,12.0900,hold,0,1.00,0,76256.37,100436.37,63261,12.0900
