date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-01-02,2025-01-03,25.5000,hold,0,1.00,0,100000.00,100000.00,53657,25.5000
2025-01-03,2025-01-06,24.4100,hold,0,1.00,0,100000.00,100000.00,69181,24.4100
2025-01-06,2025-01-07,24.4100,hold,0,1.00,0,100000.00,100000.00,53280,24.4100
2025-01-07,2025-01-08,24.9200,hold,0,1.00,0,100000.00,100000.00,51916,24.9200
2025-01-08,2025-01-09,24.8000,hold,0,1.00,0,100000.00,100000.00,58896,24.8000
2025-01-09,2025-01-10,24.8400,hold,0,1.00,0,100000.00,100000.00,56342,24.8400
2025-01-10,2025-01-13,24.6200,hold,0,1.00,0,100000.00,100000.00,41068,24.6200
2025-01-13,2025-01-14,25.2100,hold,0,1.00,0,100000.00,100000.00,32308,25.2100
2025-01-14,2025-01-15,25.9900,hold,0,1.00,0,100000.00,100000.00,44129,25.9900
2025-01-15,2025-01-16,25.5000,hold,0,1.00,0,100000.00,100000.00,86148,25.5000
2025-01-16,2025-01-17,25.4100,hold,0,1.00,0,100000.00,100000.00,45871,25.4100
2025-01-17,2025-01-20,25.4600,hold,0,1.00,0,100000.00,100000.00,66935,25.4600
2025-01-20,2025-01-21,25.3400,hold,0,1.00,0,100000.00,100000.00,39305,25.3400
2025-01-21,2025-01-22,25.3200,hold,0,1.00,0,100000.00,100000.00,59872,25.3200
2025-01-22,2025-01-23,24.8800,hold,0,1.00,0,100000.00,100000.00,62687,24.8800
2025-01-23,2025-01-24,24.7100,hold,0,1.00,0,100000.00,100000.00,63491,24.7100
2025-01-24,2025-01-27,24.9500,hold,0,1.00,0,100000.00,100000.00,61363,24.9500
2025-01-27,2025-02-05,24.1000,hold,0,1.00,0,100000.00,100000.00,60087,24.1000
2025-02-05,2025-02-06,24.6700,hold,0,1.00,0,100000.00,100000.00,45050,24.6700
2025-02-06,2025-02-07,25.6600,buy,300,1.00,1,92174.11,99997.57,86711,26.0782
2025-02-07,2025-02-10,26.1400,buy,800,1.00,1,70949.46,100124.32,124268,26.5226
2025-02-10,2025-02-11,26.7000,hold,0,1.00,0,70949.46,100319.46,59923,26.7000
2025-02-11,2025-02-12,26.2900,hold,0,1.00,0,70949.46,99868.46,111149,26.2900
2025-02-12,2025-02-13,26.9900,hold,0,1.00,0,70949.46,100638.46,79220,26.9900
2025-02-13,2025-02-14,26.6000,hold,0,1.00,0,70949.46,100209.46,105420,26.6000
2025-02-14,2025-02-17,26.4000,hold,0,1.00,0,70949.46,99989.46,134166,26.4000
2025-02-17,2025-02-18,26.2500,buy,600,1.00,1,55074.54,100039.54,122299,26.4500
2025-02-18,2025-02-19,25.5800,sell,1400,1.00,1,90773.60,98429.60,98862,25.5200
2025-02-19,2025-02-20,26.2300,buy,800,1.00,1,69613.60,98699.58,97586,26.4418
2025-02-20,2025-02-21,26.2900,hold,0,1.00,0,69613.60,98532.60,74346,26.2900
2025-02-21,2025-02-24,26.7600,hold,0,1.00,0,69613.60,99049.60,135053,26.7600
2025-02-24,2025-02-25,27.2000,hold,0,1.00,0,69613.60,99533.60,113131,27.2000
2025-02-25,2025-02-26,27.8500,buy,1200,1.00,1,35607.06,100766.06,108841,28.3300
2025-02-26,2025-02-27,27.6100,hold,0,1.00,0,35607.06,99110.06,77553,27.6100
2025-02-27,2025-02-28,26.8800,hold,0,1.00,0,35607.06,97431.06,110591,26.8800
2025-02-28,2025-03-03,25.8700,sell,2000,1.00,1,87262.99,95017.66,125767,25.8489
2025-03-03,2025-03-04,26.9800,hold,0,1.00,0,87262.99,95356.99,82813,26.9800
2025-03-04,2025-03-05,27.8000,hold,0,1.00,0,87262.99,95602.99,80657,27.8000
2025-03-05,2025-03-06,27.3000,hold,0,1.00,0,87262.99,95452.99,72083,27.3000
2025-03-06,2025-03-07,27.5200,hold,0,1.00,0,87262.99,95518.99,70377,27.5200
