date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-08-01,2025-08-04,28.7500,buy,800,1.00,1,77049.97,99992.89,49931,28.6786
2025-08-04,2025-08-05,28.9100,hold,0,1.00,0,77049.97,100177.97,55579,28.9100
2025-08-05,2025-08-06,29.1800,hold,0,1.00,0,77049.97,100393.97,65728,29.1800
2025-08-06,2025-08-07,29.1600,hold,0,1.00,0,77049.97,100377.97,61848,29.1600
2025-08-07,2025-08-08,29.1100,hold,0,1.00,0,77049.97,100337.97,62159,29.1100
2025-08-08,2025-08-11,28.8800,hold,0,1.00,0,77049.97,100153.97,101565,28.8800
2025-08-11,2025-08-12,29.3800,hold,0,1.00,0,77049.97,100553.97,71431,29.3800
2025-08-12,2025-08-13,29.4800,hold,0,1.00,0,77049.97,100633.97,61452,29.4800
2025-08-13,2025-08-14,29.6200,hold,0,1.00,0,77049.97,100745.97,172532,29.6200
2025-08-14,2025-08-15,29.6500,hold,0,1.00,0,77049.97,100769.97,99010,29.6500
2025-08-15,2025-08-18,31.1000,hold,0,1.00,0,77049.97,101929.97,94194,31.1000
2025-08-18,2025-08-19,31.7000,hold,0,1.00,0,77049.97,102409.97,59296,31.7000
2025-08-19,2025-08-20,31.0200,buy,1200,1.00,1,39921.38,101783.18,91662,30.9309
2025-08-20,2025-08-21,31.1500,hold,0,1.00,0,39921.38,102221.38,43660,31.1500
2025-08-21,2025-08-22,30.8800,hold,0,1.00,0,39921.38,101681.38,54275,30.8800
2025-08-22,2025-08-25,32.2000,hold,0,1.00,0,39921.38,104321.38,109212,32.2000
2025-08-25,2025-08-26,32.1400,buy,600,1.00,1,20732.27,103859.31,80648,31.9719
2025-08-26,2025-08-27,31.6800,hold,0,1.00,0,20732.27,103100.27,65792,31.6800
2025-08-27,2025-08-28,30.8900,hold,0,1.00,0,20732.27,101046.27,114236,30.8900
2025-08-28,2025-08-29,31.5000,hold,0,1.00,0,20732.27,102632.27,65186,31.5000
2025-08-29,2025-09-01,31.4800,hold,0,1.00,0,20732.27,102580.27,62183,31.4800
2025-09-01,2025-09-02,31.1700,hold,0,1.00,0,20732.27,101774.27,71661,31.1700
2025-09-02,2025-09-03,30.7800,buy,100,1.00,1,17631.21,101333.83,76119,31.0010
2025-09-03,2025-09-04,29.7900,hold,0,1.00,0,17631.21,98064.21,74099,29.7900
2025-09-04,2025-09-05,29.5600,hold,0,1.00,0,17631.21,97443.21,122988,29.5600
2025-09-05,2025-09-08,29.8300,hold,0,1.00,0,17631.21,98172.21,108037,29.8300
2025-09-08,2025-09-09,29.4500,hold,0,1.00,0,17631.21,97146.21,91804,29.4500
2025-09-09,2025-09-10,29.5200,hold,0,1.00,0,17631.21,97335.21,113097,29.5200
2025-09-10,2025-09-11,29.4800,hold,0,1.00,0,17631.21,97227.21,83318,29.4800
2025-09-11,2025-09-12,30.3300,hold,0,1.00,0,17631.21,99522.21,117544,30.3300
2025-09-12,2025-09-15,29.7800,sell,2300,1.00,1,86184.96,98117.02,91447,29.8301
2025-09-15,2025-09-16,29.5900,close,400,1.00,1,98011.38,98011.38,64574,29.5704
2025-09-16,2025-09-17,29.2800,buy,400,1.00,1,86280.03,98007.74,50610,29.3193
2025-09-17,2025-09-18,28.9900,hold,0,1.00,0,86280.03,97876.03,72076,28.9900
2025-09-18,2025-09-19,28.3500,buy,100,1.00,1,83451.33,97590.45,87020,28.2782
2025-09-19,2025-09-22,28.3100,hold,0,1.00,0,83451.33,97606.33,99933,28.3100
2025-09-22,2025-09-23,28.7800,hold,0,1.00,0,83451.33,97841.33,94846,28.7800
2025-09-23,2025-09-24,28.5000,hold,0,1.00,0,83451.33,97701.33,122175,28.5000
2025-09-24,2025-09-25,28.6900,hold,0,1.00,0,83451.33,97796.33,133529,28.6900
2025-09-25,2025-09-26,28.7100,hold,0,1.00,0,83451.33,97806.33,69014,28.7100
2025-09-26,2025-09-29,28.7200,hold,0,1.00,0,83451.33,97811.33,95171,28.7200
2025-09-29,2025-09-30,30.4100,hold,0,1.00,0,83451.33,98656.33,69658,30.4100
2025-09-30,2025-10-09,29.9000,buy,600,1.00,1,65668.06,98260.62,81197,29.6296
2025-10-09,2025-10-10,29.6500,buy,500,1.00,1,50828.64,98300.06,66456,29.6696
2025-10-10,2025-10-13,29.6800,hold,0,1.00,0,50828.64,98316.64,114771,29.6800
2025-10-13,2025-10-14,29.2000,sell,1100,1.00,1,82890.53,97475.93,81040,29.1708
2025-10-14,2025-10-15,29.0300,sell,200,1.00,1,88707.98,97441.24,70303,29.1109
2025-10-15,2025-10-16,29.6900,hold,0,1.00,0,88707.98,97614.98,75819,29.6900
2025-10-16,2025-10-17,29.6500,buy,700,1.00,1,67918.78,97608.44,69398,29.6897
2025-10-17,2025-10-20,29.0900,sell,1000,1.00,1,96984.99,96984.99,73524,29.3706
2025-10-20,2025-10-21,29.2300,hold,0,1.00,0,96984.99,96984.99,60698,29.2300
2025-10-21,2025-10-22,29.3600,hold,0,1.00,0,96984.99,96984.99,50968,29.3600
2025-10-22,2025-10-23,29.1900,hold,0,1.00,0,96984.99,96984.99,74545,29.1900
2025-10-23,2025-10-24,29.5200,buy,800,1.00,1,73314.01,96977.65,59225,29.5795
2025-10-24,2025-10-27,29.8700,hold,0,1.00,0,73314.01,97210.01,71176,29.8700
2025-10-27,2025-10-28,29.9900,hold,0,1.00,0,73314.01,97306.01,115269,29.9900
2025-10-28,2025-10-29,30.0000,hold,0,1.00,0,73314.01,97314.01,69393,30.0000
2025-10-29,2025-10-30,30.3000,hold,0,1.00,0,73314.01,97554.01,55051,30.3000
2025-10-30,2025-10-31,29.6800,hold,0,1.00,0,73314.01,97058.01,62786,29.6800
2025-10-31,2025-11-03,29.3800,sell,800,1.00,1,96799.01,96799.01,65532,29.3207
2025-11-03,2025-11-04,29.2200,buy,400,1.00,1,85111.72,96795.39,69799,29.2092
2025-11-04,2025-11-05,29.0800,hold,0,1.00,0,85111.72,96743.72,61233,29.0800
2025-11-05,2025-11-06,29.0600,hold,0,1.00,0,85111.72,96735.72,88275,29.0600
2025-11-06,2025-11-07,29.1900,sell,400,1.00,1,96778.30,96778.30,57805,29.0609
2025-11-07,2025-11-10,29.0000,buy,400,1.00,1,85163.10,96774.70,63111,29.0290
2025-11-10,2025-11-11,29.3000,sell,200,1.00,1,91020.49,96882.62,102986,29.3107
2025-11-11,2025-11-12,29.0600,sell,200,1.00,1,96827.78,96827.78,67327,29.0409
2025-11-12,2025-11-13,28.9000,buy,400,1.00,1,85260.64,96824.20,65853,28.9089
2025-11-13,2025-11-14,29.0800,hold,0,1.00,0,85260.64,96892.64,72755,29.0800
2025-11-14,2025-11-17,28.6400,hold,0,1.00,0,85260.64,96716.64,103423,28.6400
2025-11-17,2025-11-18,28.2900,buy,100,1.00,1,82429.94,96579.08,123400,28.2983
2025-11-18,2025-11-19,28.2200,hold,0,1.00,0,82429.94,96539.94,64199,28.2200
2025-11-19,2025-11-20,28.3000,hold,0,1.00,0,82429.94,96579.94,51441,28.3000
