date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-08-01,2025-08-04,27.1300,hold,0,1.00,0,100000.00,100000.00,86831,27.1300
2025-08-04,2025-08-05,27.1100,hold,0,1.00,0,100000.00,100000.00,51887,27.1100
2025-08-05,2025-08-06,27.2300,hold,0,1.00,0,100000.00,100000.00,62152,27.2300
2025-08-06,2025-08-07,27.7300,buy,900,1.00,1,75013.19,99992.51,61863,27.7548
2025-08-07,2025-08-08,27.5500,hold,0,1.00,0,75013.19,99808.19,60153,27.5500
2025-08-08,2025-08-11,26.8000,hold,0,1.00,0,75013.19,99133.19,69220,26.8000
2025-08-11,2025-08-12,27.4500,sell,400,1.00,1,85953.47,99639.77,93680,27.3726
2025-08-12,2025-08-13,28.7000,hold,0,1.00,0,85953.47,100303.47,48304,28.7000
2025-08-13,2025-08-14,28.5900,hold,0,1.00,0,85953.47,100248.47,61172,28.5900
2025-08-14,2025-08-15,28.5500,buy,700,1.00,1,65861.57,100294.49,77355,28.6941
2025-08-15,2025-08-18,28.6600,hold,0,1.00,0,65861.57,100253.57,47414,28.6600
2025-08-18,2025-08-19,29.5500,hold,0,1.00,0,65861.57,101321.57,48748,29.5500
2025-08-19,2025-08-20,28.8000,hold,0,1.00,0,65861.57,100421.57,64920,28.8000
2025-08-20,2025-08-21,29.3000,hold,0,1.00,0,65861.57,101021.57,45723,29.3000
2025-08-21,2025-08-22,28.8700,hold,0,1.00,0,65861.57,100505.57,78137,28.8700
2025-08-22,2025-08-25,30.2300,buy,1000,1.00,1,34976.61,102903.15,109038,30.8757
2025-08-25,2025-08-26,30.0200,hold,0,1.00,0,34976.61,101020.61,65510,30.0200
2025-08-26,2025-08-27,29.8900,hold,0,1.00,0,34976.61,100734.61,61883,29.8900
2025-08-27,2025-08-28,29.5000,hold,0,1.00,0,34976.61,99876.61,69869,29.5000
2025-08-28,2025-08-29,30.0800,hold,0,1.00,0,34976.61,101152.61,51172,30.0800
2025-08-29,2025-09-01,33.0900,hold,0,1.00,0,34976.61,107774.61,72235,33.0900
2025-09-01,2025-09-02,34.8800,hold,0,1.00,0,34976.61,111712.61,39298,34.8800
2025-09-02,2025-09-03,34.1400,hold,0,1.00,0,34976.61,110084.61,67905,34.1400
2025-09-03,2025-09-04,35.3600,hold,0,1.00,0,34976.61,112768.61,75419,35.3600
2025-09-04,2025-09-05,31.8200,hold,0,1.00,0,34976.61,104980.61,43367,31.8200
2025-09-05,2025-09-08,32.2100,hold,0,1.00,0,34976.61,105838.61,54087,32.2100
2025-09-08,2025-09-09,32.9700,hold,0,1.00,0,34976.61,107510.61,52626,32.9700
2025-09-09,2025-09-10,31.2100,hold,0,1.00,0,34976.61,103638.61,49095,31.2100
