date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-01-02,2025-01-03,0.9640,hold,0,1.00,0,5000.00,5000.00,34622,0.9640
2025-01-03,2025-01-06,0.9420,hold,0,1.00,0,5000.00,5000.00,41338,0.9420
2025-01-06,2025-01-07,0.9350,hold,0,1.00,0,5000.00,5000.00,62290,0.9350
2025-01-07,2025-01-08,0.9770,buy,100,1.00,1,4903.27,4999.97,66119,0.9670
2025-01-08,2025-01-09,0.9770,buy,600,1.00,1,4320.51,5000.19,80704,0.9710
2025-01-09,2025-01-10,0.9800,hold,0,1.00,0,4320.51,5006.51,57820,0.9800
2025-01-10,2025-01-13,0.9750,hold,0,1.00,0,4320.51,5003.01,72911,0.9750
2025-01-13,2025-01-14,0.9710,hold,0,1.00,0,4320.51,5000.21,75929,0.9710
2025-01-14,2025-01-15,1.0100,sell,300,1.00,1,4622.51,5025.31,88957,1.0070
2025-01-15,2025-01-16,1.0090,buy,1100,1.00,1,3503.45,5028.97,91698,1.0170
2025-01-16,2025-01-17,0.9880,sell,800,1.00,1,4286.42,4971.74,113532,0.9790
2025-01-17,2025-01-20,1.0110,hold,0,1.00,0,4286.42,4994.12,82844,1.0110
2025-01-20,2025-01-21,1.0100,buy,1000,1.00,1,3270.09,4997.32,125648,1.0160
2025-01-21,2025-01-22,1.0240,hold,0,1.00,0,3270.09,5010.89,80358,1.0240
2025-01-22,2025-01-23,1.0220,hold,0,1.00,0,3270.09,5007.49,58092,1.0220
2025-01-23,2025-01-24,1.0080,buy,800,1.00,1,2462.64,4985.16,82178,1.0090
2025-01-24,2025-01-27,1.0180,hold,0,1.00,0,2462.64,5007.64,62527,1.0180
2025-01-27,2025-02-05,0.9900,hold,0,1.00,0,2462.64,4937.64,68661,0.9900
2025-02-05,2025-02-06,1.0170,buy,600,1.00,1,1855.24,4992.48,80978,1.0120
2025-02-06,2025-02-07,1.0600,hold,0,1.00,0,1855.24,5141.24,50692,1.0600
2025-02-07,2025-02-10,1.0620,hold,0,1.00,0,1855.24,5147.44,63384,1.0620
2025-02-10,2025-02-11,1.0740,hold,0,1.00,0,1855.24,5184.64,51757,1.0740
2025-02-11,2025-02-12,1.0610,hold,0,1.00,0,1855.24,5144.34,31049,1.0610
2025-02-12,2025-02-13,1.0970,sell,800,1.00,1,2730.09,5246.08,124452,1.0939
2025-02-13,2025-02-14,1.0630,hold,0,1.00,0,2730.09,5174.99,78524,1.0630
2025-02-14,2025-02-17,1.0620,hold,0,1.00,0,2730.09,5172.69,45123,1.0620
2025-02-17,2025-02-18,1.0760,hold,0,1.00,0,2730.09,5204.89,51481,1.0760
2025-02-18,2025-02-19,1.0540,hold,0,1.00,0,2730.09,5154.29,60357,1.0540
2025-02-19,2025-02-20,1.1010,buy,1200,1.00,1,1408.37,5262.22,129932,1.1011
2025-02-20,2025-02-21,1.0960,hold,0,1.00,0,1408.37,5244.37,104510,1.0960
2025-02-21,2025-02-24,1.1520,hold,0,1.00,0,1408.37,5440.37,61876,1.1520
2025-02-24,2025-02-25,1.1560,hold,0,1.00,0,1408.37,5454.37,75135,1.1560
2025-02-25,2025-02-26,1.1510,buy,600,1.00,1,715.06,5451.19,80526,1.1552
2025-02-26,2025-02-27,1.1710,sell,1000,1.00,1,1884.52,5510.99,67403,1.1698
