date,execution_date,price,signal,quantity,leverage,success,available_cash,total_asset,llm_ms,effective_price
2025-08-01,2025-08-04,32.6700,hold,0,1.00,0,100000.00,100000.00,46810,32.6700
2025-08-04,2025-08-05,32.1500,buy,700,1.00,1,77368.99,99992.99,69079,32.3200
2025-08-05,2025-08-06,34.1700,hold,0,1.00,0,77368.99,101287.99,69554,34.1700
2025-08-06,2025-08-07,35.1600,hold,0,1.00,0,77368.99,101980.99,71331,35.1600
2025-08-07,2025-08-08,36.7900,hold,0,1.00,0,77368.99,103121.99,58328,36.7900
2025-08-08,2025-08-11,34.6000,hold,0,1.00,0,77368.99,101588.99,61498,34.6000
2025-08-11,2025-08-12,35.2200,hold,0,1.00,0,77368.99,102022.99,83104,35.2200
2025-08-12,2025-08-13,35.8500,hold,0,1.00,0,77368.99,102463.99,53047,35.8500
2025-08-13,2025-08-14,35.2400,hold,0,1.00,0,77368.99,102036.99,60302,35.2400
2025-08-14,2025-08-15,33.5400,hold,0,1.00,0,77368.99,100846.99,71217,33.5400
2025-08-15,2025-08-18,34.5000,sell,400,1.00,1,91263.80,101693.36,84011,34.7652
2025-08-18,2025-08-19,34.5100,hold,0,1.00,0,91263.80,101616.80,65163,34.5100
2025-08-19,2025-08-20,34.7100,hold,0,1.00,0,91263.80,101676.80,63537,34.7100
2025-08-20,2025-08-21,34.5300,hold,0,1.00,0,91263.80,101622.80,56190,34.5300
2025-08-21,2025-08-22,33.6600,hold,0,1.00,0,91263.80,101361.80,51077,33.6600
2025-08-22,2025-08-25,34.9600,hold,0,1.00,0,91263.80,101751.80,45484,34.9600
2025-08-25,2025-08-26,35.8300,hold,0,1.00,0,91263.80,102012.80,107770,35.8300
2025-08-26,2025-08-27,35.8100,hold,0,1.00,0,91263.80,102006.80,60147,35.8100
2025-08-27,2025-08-28,35.1500,hold,0,1.00,0,91263.80,101808.80,56879,35.1500
2025-08-28,2025-08-29,38.6700,sell,200,1.00,1,99357.13,103407.08,74349,40.4995
2025-08-29,2025-09-01,37.9900,hold,0,1.00,0,99357.13,103156.13,59423,37.9900
2025-09-01,2025-09-02,38.5600,hold,0,1.00,0,99357.13,103213.13,35653,38.5600
2025-09-02,2025-09-03,38.0900,hold,0,1.00,0,99357.13,103166.13,54610,38.0900
2025-09-03,2025-09-04,37.6000,hold,0,1.00,0,99357.13,103117.13,44452,37.6000
2025-09-04,2025-09-05,33.8400,hold,0,1.00,0,99357.13,102741.13,49563,33.8400
2025-09-05,2025-09-08,34.9800,sell,100,1.00,1,102852.33,102852.33,80895,34.6453
2025-09-08,2025-09-09,34.2900,buy,300,1.00,1,92667.17,102849.17,60812,33.9400
2025-09-09,2025-09-10,32.9700,hold,0,1.00,0,92667.17,102558.17,62436,32.9700
